model,dataset,score,MSE,MAE,R2,bad_recall
EMBEDDINGS_CATBOOST_C_SOLUTION_HANDCRAFTED,REAL_TEST,score_factchecking,27.6483,3.7455,-0.6,
EMBEDDINGS_CATBOOST_C_SOLUTION_HANDCRAFTED,REAL_TEST,score_originality,106.1563,8.6889,-0.1256,
EMBEDDINGS_CATBOOST_C_SOLUTION_HANDCRAFTED,REAL_TEST,score_effectiveness,65.1733,6.6641,0.3905,
EMBEDDINGS_CATBOOST_C_SOLUTION_HANDCRAFTED,REAL_TEST,score_logic,13.9836,2.9024,0.4555,
EMBEDDINGS_CATBOOST_C_SOLUTION_HANDCRAFTED,REAL_TEST,score_completeness,21.8184,3.4976,0.7665,
EMBEDDINGS_CATBOOST_C_SOLUTION_HANDCRAFTED,REAL_TEST,score_total,14.7386,3.161,0.1157,
EMBEDDINGS_CATBOOST_C_SOLUTION_HANDCRAFTED,STRESS_TEST,score_factchecking,1150.0506,22.0402,-0.2285,
EMBEDDINGS_CATBOOST_C_SOLUTION_HANDCRAFTED,STRESS_TEST,score_originality,196.9294,11.5071,0.0172,
EMBEDDINGS_CATBOOST_C_SOLUTION_HANDCRAFTED,STRESS_TEST,score_effectiveness,461.6666,19.5411,0.4389,
EMBEDDINGS_CATBOOST_C_SOLUTION_HANDCRAFTED,STRESS_TEST,score_logic,486.3389,17.6812,0.2475,
EMBEDDINGS_CATBOOST_C_SOLUTION_HANDCRAFTED,STRESS_TEST,score_completeness,310.977,14.9011,0.4846,
EMBEDDINGS_CATBOOST_C_SOLUTION_HANDCRAFTED,STRESS_TEST,score_total,209.2118,12.3595,0.216,0.8095
EMBEDDINGS_CATBOOST_C_SOLUTION_HANDCRAFTED,EXTERNAL_LOW_QUALITY_TEST,score_factchecking,295.4745,11.1809,0.0482,
EMBEDDINGS_CATBOOST_C_SOLUTION_HANDCRAFTED,EXTERNAL_LOW_QUALITY_TEST,score_originality,249.9215,11.7721,-0.0303,
EMBEDDINGS_CATBOOST_C_SOLUTION_HANDCRAFTED,EXTERNAL_LOW_QUALITY_TEST,score_effectiveness,315.3905,15.2182,0.1183,
EMBEDDINGS_CATBOOST_C_SOLUTION_HANDCRAFTED,EXTERNAL_LOW_QUALITY_TEST,score_logic,154.6706,10.5069,-0.0613,
EMBEDDINGS_CATBOOST_C_SOLUTION_HANDCRAFTED,EXTERNAL_LOW_QUALITY_TEST,score_completeness,81.4399,7.9221,0.6613,
EMBEDDINGS_CATBOOST_C_SOLUTION_HANDCRAFTED,EXTERNAL_LOW_QUALITY_TEST,score_total,114.8597,9.4372,0.3724,0.8235
