model,dataset,score,MSE,MAE,R2,bad_recall
EMBEDDINGS_RIDGE_C_SOLUTION_HANDCRAFTED,REAL_TEST,score_factchecking,82.036,7.3816,-3.7474,
EMBEDDINGS_RIDGE_C_SOLUTION_HANDCRAFTED,REAL_TEST,score_originality,125.088,9.4621,-0.3264,
EMBEDDINGS_RIDGE_C_SOLUTION_HANDCRAFTED,REAL_TEST,score_effectiveness,128.2588,9.3004,-0.1995,
EMBEDDINGS_RIDGE_C_SOLUTION_HANDCRAFTED,REAL_TEST,score_logic,43.2326,5.0629,-0.6833,
EMBEDDINGS_RIDGE_C_SOLUTION_HANDCRAFTED,REAL_TEST,score_completeness,157.9751,9.9997,-0.6906,
EMBEDDINGS_RIDGE_C_SOLUTION_HANDCRAFTED,REAL_TEST,score_total,46.5314,5.5908,-1.7918,
EMBEDDINGS_RIDGE_C_SOLUTION_HANDCRAFTED,STRESS_TEST,score_factchecking,810.5377,20.1456,0.1342,
EMBEDDINGS_RIDGE_C_SOLUTION_HANDCRAFTED,STRESS_TEST,score_originality,231.8024,12.3515,-0.1568,
EMBEDDINGS_RIDGE_C_SOLUTION_HANDCRAFTED,STRESS_TEST,score_effectiveness,487.8587,20.8231,0.4071,
EMBEDDINGS_RIDGE_C_SOLUTION_HANDCRAFTED,STRESS_TEST,score_logic,411.2997,15.7236,0.3636,
EMBEDDINGS_RIDGE_C_SOLUTION_HANDCRAFTED,STRESS_TEST,score_completeness,244.0064,12.8148,0.5956,
EMBEDDINGS_RIDGE_C_SOLUTION_HANDCRAFTED,STRESS_TEST,score_total,193.4358,11.3119,0.2751,0.8095
EMBEDDINGS_RIDGE_C_SOLUTION_HANDCRAFTED,EXTERNAL_LOW_QUALITY_TEST,score_factchecking,219.0767,12.2954,0.2943,
EMBEDDINGS_RIDGE_C_SOLUTION_HANDCRAFTED,EXTERNAL_LOW_QUALITY_TEST,score_originality,282.9603,12.6863,-0.1665,
EMBEDDINGS_RIDGE_C_SOLUTION_HANDCRAFTED,EXTERNAL_LOW_QUALITY_TEST,score_effectiveness,187.9783,12.1681,0.4745,
EMBEDDINGS_RIDGE_C_SOLUTION_HANDCRAFTED,EXTERNAL_LOW_QUALITY_TEST,score_logic,132.0512,9.523,0.0939,
EMBEDDINGS_RIDGE_C_SOLUTION_HANDCRAFTED,EXTERNAL_LOW_QUALITY_TEST,score_completeness,152.768,9.955,0.3646,
EMBEDDINGS_RIDGE_C_SOLUTION_HANDCRAFTED,EXTERNAL_LOW_QUALITY_TEST,score_total,103.7847,8.5672,0.4329,0.7647
