dataset,score,EMBEDDINGS_CATBOOST,EMBEDDINGS_RIDGE,TFIDF_RIDGE
EXTERNAL_LOW_QUALITY_TEST,score_completeness,7.9221,9.955,8.9559
EXTERNAL_LOW_QUALITY_TEST,score_effectiveness,15.2182,12.1681,12.2968
EXTERNAL_LOW_QUALITY_TEST,score_factchecking,11.1809,12.2954,13.2693
EXTERNAL_LOW_QUALITY_TEST,score_logic,10.5069,9.523,10.7226
EXTERNAL_LOW_QUALITY_TEST,score_originality,11.7721,12.6863,14.0818
REAL_TEST,score_completeness,3.4976,9.9997,4.6289
REAL_TEST,score_effectiveness,6.6641,9.3004,6.5405
REAL_TEST,score_factchecking,3.7455,7.3816,5.2789
REAL_TEST,score_logic,2.9024,5.0629,5.7238
REAL_TEST,score_originality,8.6889,9.4621,8.2381
STRESS_TEST,score_completeness,14.9011,12.8148,12.1672
STRESS_TEST,score_effectiveness,19.5411,20.8231,16.5181
STRESS_TEST,score_factchecking,22.0402,20.1456,17.8544
STRESS_TEST,score_logic,17.6812,15.7236,12.4246
STRESS_TEST,score_originality,11.5071,12.3515,8.6353
