model,dataset,score,MSE,MAE,R2,bad_recall
RIDGE_FINAL_BASELINE,REAL_TEST,score_factchecking,45.5586,5.2789,-1.6365,
RIDGE_FINAL_BASELINE,REAL_TEST,score_originality,103.172,8.2381,-0.094,
RIDGE_FINAL_BASELINE,REAL_TEST,score_effectiveness,57.533,6.5405,0.4619,
RIDGE_FINAL_BASELINE,REAL_TEST,score_logic,45.9064,5.7238,-0.7874,
RIDGE_FINAL_BASELINE,REAL_TEST,score_completeness,33.4601,4.6289,0.6419,
RIDGE_FINAL_BASELINE,REAL_TEST,score_total,18.25,3.3863,-0.095,
RIDGE_FINAL_BASELINE,STRESS_TEST,score_factchecking,649.9994,17.8544,0.3056,
RIDGE_FINAL_BASELINE,STRESS_TEST,score_originality,105.6994,8.6353,0.4725,
RIDGE_FINAL_BASELINE,STRESS_TEST,score_effectiveness,327.3596,16.5181,0.6022,
RIDGE_FINAL_BASELINE,STRESS_TEST,score_logic,212.0531,12.4246,0.6719,
RIDGE_FINAL_BASELINE,STRESS_TEST,score_completeness,214.1714,12.1672,0.6451,
RIDGE_FINAL_BASELINE,STRESS_TEST,score_total,147.1454,10.1512,0.4486,0.9048
RIDGE_FINAL_BASELINE,EXTERNAL_LOW_QUALITY_TEST,score_factchecking,223.1685,13.2693,0.2811,
RIDGE_FINAL_BASELINE,EXTERNAL_LOW_QUALITY_TEST,score_originality,292.752,14.0818,-0.2068,
RIDGE_FINAL_BASELINE,EXTERNAL_LOW_QUALITY_TEST,score_effectiveness,207.8173,12.2968,0.419,
RIDGE_FINAL_BASELINE,EXTERNAL_LOW_QUALITY_TEST,score_logic,165.1036,10.7226,-0.1329,
RIDGE_FINAL_BASELINE,EXTERNAL_LOW_QUALITY_TEST,score_completeness,121.2106,8.9559,0.4958,
RIDGE_FINAL_BASELINE,EXTERNAL_LOW_QUALITY_TEST,score_total,107.0718,9.2717,0.4149,0.7059
