model,dataset,MAE,R2,bad_recall
EMBEDDINGS_RIDGE_C_SOLUTION_HANDCRAFTED,EXTERNAL_LOW_QUALITY_TEST,8.5672,0.4329,0.7647
RUBERT_TINY2_PARTIAL,EXTERNAL_LOW_QUALITY_TEST,8.8913,0.4416,0.9412
RIDGE_FINAL_BASELINE,EXTERNAL_LOW_QUALITY_TEST,9.2717,0.4149,0.7059
EMBEDDINGS_CATBOOST_C_SOLUTION_HANDCRAFTED,EXTERNAL_LOW_QUALITY_TEST,9.4372,0.3724,0.8235
RUBERT_BASE_PARTIAL,EXTERNAL_LOW_QUALITY_TEST,11.0038,0.1355,0.4118
RUBERT_BASE_PARTIAL,REAL_TEST,3.0507,0.111,
EMBEDDINGS_CATBOOST_C_SOLUTION_HANDCRAFTED,REAL_TEST,3.161,0.1157,
RUBERT_TINY2_PARTIAL,REAL_TEST,3.2893,-0.0263,
RIDGE_FINAL_BASELINE,REAL_TEST,3.3863,-0.095,
EMBEDDINGS_RIDGE_C_SOLUTION_HANDCRAFTED,REAL_TEST,5.5908,-1.7918,
RUBERT_TINY2_PARTIAL,STRESS_TEST,9.5991,0.5425,1.0
RIDGE_FINAL_BASELINE,STRESS_TEST,10.1512,0.4486,0.9048
EMBEDDINGS_RIDGE_C_SOLUTION_HANDCRAFTED,STRESS_TEST,11.3119,0.2751,0.8095
EMBEDDINGS_CATBOOST_C_SOLUTION_HANDCRAFTED,STRESS_TEST,12.3595,0.216,0.8095
RUBERT_BASE_PARTIAL,STRESS_TEST,13.2129,0.1212,0.7619
