mode,epoch,train_loss,real_val_MAE,stress_val_MAE,stress_bad_recall,selection_score
FROZEN,1,0.02523,5.71529,15.74627,0.0,9.72768
FROZEN,2,0.01425,4.90907,14.52418,0.11111,8.75511
FROZEN,3,0.0133,4.53771,14.04519,0.55556,8.3407
FROZEN,4,0.01239,4.01764,13.78032,0.66667,7.92271
FROZEN,5,0.01228,4.35738,13.62294,0.66667,8.0636
FROZEN,6,0.01201,4.42356,13.55856,0.66667,8.07756
PARTIAL,1,0.01287,3.87727,13.50471,0.66667,7.72825
PARTIAL,2,0.01209,4.04315,13.23088,0.66667,7.71824
PARTIAL,3,0.01183,4.05468,13.04606,0.77778,7.65123
PARTIAL,4,0.01189,4.0778,12.97863,0.88889,7.63813
