mode,epoch,train_loss,real_val_MAE,stress_val_MAE,stress_bad_recall,selection_score
FROZEN,1,0.01841,2.90997,14.93353,0.22222,7.71939
FROZEN,2,0.00981,2.82025,12.99433,0.77778,6.88988
FROZEN,3,0.00872,3.15078,11.91533,1.0,6.6566
FROZEN,4,0.00821,3.22902,11.73838,0.77778,6.63276
FROZEN,5,0.00752,3.18711,11.39867,1.0,6.47173
FROZEN,6,0.0073,3.51884,11.04661,1.0,6.52995
FROZEN,7,0.00684,3.31848,11.04084,1.0,6.40742
FROZEN,8,0.00705,3.33201,10.98959,1.0,6.39504
PARTIAL,1,0.00766,3.29726,10.75014,0.88889,6.27842
PARTIAL,2,0.00744,4.09766,10.53351,0.77778,6.672
PARTIAL,3,0.00717,3.56441,10.29547,0.88889,6.25683
PARTIAL,4,0.0067,3.4696,10.27181,1.0,6.19048
PARTIAL,5,0.00664,3.43319,10.28861,1.0,6.17536
FULL,1,0.00801,3.3627,10.76442,0.88889,6.32339
FULL,2,0.00686,3.64571,10.20634,1.0,6.26996
FULL,3,0.00643,3.57495,10.23838,1.0,6.24032
FULL,4,0.00616,3.50578,10.29569,1.0,6.22175
FULL,5,0.00577,3.54078,10.22816,1.0,6.21573
